"USENIX Symposium on Networked Systems Design and Implementation","NSDI"
"USENIX Annual Technical Conference","ATC"
"USENIX Security Symposium","SEC"
"USENIX Symposium on Operating Systems Design and Implementation","OSDI"
"USENIX Conference on File and Storage Technologies","FAST"
"USENIX Workshop on Hot Topics in Edge Computing","HotEdge"
"USENIX Workshop on Hot Topics in Cloud Computing","HotCloud"
"USENIX Large Installation System Administration Conference","LISA"
"ACM International Conference on Architectural Support for Programming Languages and Operating Systems","ASPLOS"
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication","SIGCOMM"
"ACM Conference on Computer and Communications Security","CCS"
"ACM International Conference on Management of Data","SIGMOD"
"ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems","PODS"
"ACM International Conference on Embedded Software","EMSOFT"
"ACM International Conference on Supercomputing","ICS"
"ACM International Conference for High Performance Computing, Networking, Storage and Analysis","SC"
"ACM/IEEE International Conference on Mobile Computing and Networking","MobiCom"
"ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services","MobiSys"
"ACM International Conference on Embedded Networked Sensor Systems","SenSys"
"ACM/SIGCOMM Internet Measurement Conference","IMC"
"ACM Measurement and Modeling of Computer Systems","SIGMETRICS"
"ACM Symposium on Operating Systems Principles","SOSP"
"ACM European Conference on Computer Systems","EuroSys"
"ACM-SIGPLAN Symposium on Programming Language Design and Implementation","PLDI"
"ACM-SIGACT Symposium on Principles of Programming Languages","POPL"
"ACM SIGPLAN International Conference on Functional Programming","ICFP"
"ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity","SPLASH"
"ACM SIGSOFT Conference on the Foundations of Software Engineering","FSE"
"ACM International Conference on Software Engineering","ICSE"
"ACM International Symposium on Software Testing and Analysis","ISSTA"
"ACM-SIAM Symposium on Discrete Algorithms","SODA"
"ACM Symposium on the Theory of Computing","STOC"
"ACM International Conference on Computer Graphics and Interactive Techniques","SIGGRAPH"
"ACM Conference on Economics and Computation","EC"
"ACM International Conference on Human Factors in Computing Systems","CHI"
"ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","IMWUT"
"ACM Ubiquitous Computing","UbiComp"
"ACM Symposium on User Interface Software and Technology","UIST"
"ACM Knowledge Discovery and Data Mining","KDD"
"ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR"
"ACM The Web Conference","WWW"
"ACM Workshop on Hot Topics in Operating Systems","HotOS"
"ACM Workshop on Hot Topics in Networks","HotNet"
"ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming","PPoPP"
"ACM Symposium on Cloud Computing","SoCC"
"ACM Symposium on Parallelism in Algorithms and Architectures","SPAA"
"ACM Symposium on Principles of Distributed Computing","PODC"
"ACM/SIGDA International Symposium on Field-Programmable Gate Arrays","FPGA"
"ACM/IEEE Code Generation and Optimization","CGO"
"ACM/IEEE Design, Automation & Test in Europe","DATE"
"ACM International Conference on High Performance and Embedded Architectures and Compilers","HiPEAC"
"ACM International Conference on Virtual Execution Environments","VEE"
"ACM International Symposium on Computer Performance Modeling, Measurements and Evaluation","Performance"
"ACM International Conference on Computing Frontiers","CF"
"ACM International Systems and Storage Conference","SYSTOR"
"ACM/IEEE International Symposium on Networks-on-Chip","NOCS"
"ACM/IEEE Asia and South Pacific Design Automation Conference","ASP-DAC"
"ACM/IEEE Great Lakes Symposium on VLSI","GLSVLSI"
"ACM International Conference on Compilers, Architectures, and Synthesis for Embedded Systems","CASES"
"ACM/IEEE International Symposium on Low Power Electronics and Design","ISLPED"
"ACM International Symposium on Physical Design","ISPD"
"ACM Conference on Embedded Networked Sensor Systems","SenSys"
"ACM International Conference on Emerging Networking Experiments and Technologies","CoNEXT"
"ACM International Conference on Mobile Systems, Applications, and Services","MobiSys"
"ACM International Symposium on Mobile Ad Hoc Networking and Computing","MobiHoc"
"ACM International Workshop on Network and Operating System Support for Digital Audio and Video","NOSSDAV"
"ACM/USENIX Internet Measurement Conference","IMC"
"ACM/IEEE Architectures for Networking and Communications Systems","ANCS"
"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems","MSWiM"
"ACM Conference on Object-Oriented Programming Systems, Languages, and Applications","OOPSLA"
"ACM Conference on Computer Supported Cooperative Work and Social Computing","CSCW"
"International Conference on Human Computer Interaction with Mobile Devices and Services","MobileHCI"
"ACM Symposium on User Interface Software and Technology","UIST"
"ACM International Symposium on Software Testing and Analysis","ISSTA"
